osm_id,osm_type,name,category,cuisine,lat,lon,address,suburb,website,opening_hours,rating,review_count,review_velocity_per_week,popularity_review,foot_monthly,foot_daily_avg,dwell_min,foot_source,popularity_foot,suburb_source,suburb_conf_km
9110868581,node,126 Asian Cuisine,restaurant,,-37.7690408,145.0422543,,Ivanhoe,,,4.3,95,,41.2,,,,,,nearest,0.297
9110868583,node,Subway,fast_food,sandwich,-37.7695507,145.0412983,,Ivanhoe,,"Mo-Fr 08:00-21:00; Sa,Su 09:00-21:00",,,,,,,,,,nearest,0.395
9110868588,node,Vasko,restaurant,,-37.7691024,145.0417838,,Ivanhoe,,,,,,,,,,,,nearest,0.329
9110868590,node,Laurent,cafe,french,-37.7685994,145.0424133,,Ivanhoe,,Mo-Su 07:00-18:00,,,,,,,,,,nearest,0.25
9110868593,node,Joja Cucina,restaurant,,-37.7686086,145.0428889,,Ivanhoe,,,4.6,264,,47.7,,,,,,nearest,0.225
9110868595,node,College Dropout Burgers,fast_food,burger,-37.7694768,145.0413756,,Ivanhoe,,,4.6,742,,53.2,,,,,,nearest,0.384
9110868608,node,Laurent,cafe,,-37.7686373,145.0423582,,Ivanhoe,,,,,,,,,,,,nearest,0.257
9110933587,node,Johnny's Green Room,bar,,-37.7982893,144.9670284,,Carlton,,,3.9,781,,50.6,,,,,,nearest,0.059
9112174920,node,Warrandyte Stonehouse Cafe,cafe,,-37.7392646,145.2296912,321 Ringwood-Warrandyte Road,Warrandyte,,,4.3,872,,52.8,,,,,,osm,0.0
9129657964,node,Indian Takeaway Fish and Chips,fast_food,curry,-37.6670062,144.9490984,,Campbellfield,,,,,,,,,,,,nearest,0.065
9129657967,node,Moudy Vegetarian Falafel,restaurant,falafel;middle_eastern,-37.6667591,144.9478215,,Campbellfield,,,,,,,,,,,,nearest,0.051
9133683617,node,My Goodness Treats,cafe,,-37.7469372,144.9208871,,Essendon,,,,,,,,,,,,nearest,1.255
9137802759,node,Little Collins Cafe,cafe,,-37.9006673,145.1346427,,Clayton,,,4.4,296,,47.5,,,,,,nearest,0.824
9140188717,node,Gloria Jean's,cafe,coffee_shop,-37.8175896,144.951687,BSB01 Bourke Street Footbridge,Melbourne,https://www.gloriajeanscoffees.com.au/,Mo-Fr 05:30-18:30; Sa 07:30-14:00; Su 08:00-13:00,4,152,,42.4,,,,,,nearest,0.185
9141577034,node,Sensoray Lab,cafe,,-37.8219299,144.9264746,,Port Melbourne,,,,,,,,,,,,nearest,0.397
9141577046,node,Hall St. Cafe,cafe,,-37.8227748,144.9265493,,Port Melbourne,,,4.5,110,,42.8,,,,,,nearest,0.397
9157632938,node,Yarra Organics,cafe,,-37.7377823,145.154718,,Eltham,,,4.3,36,,36.2,,,,,,nearest,1.446
9175901162,node,Vegie Bar Take Away,fast_food,,-37.7957307,144.9790716,,Fitzroy,,,4.4,3255,,60.1,,,,,,nearest,0.006
9175901163,node,Girls & Boys,ice_cream,,-37.7957699,144.9790602,,Fitzroy,https://www.girlsandboysfitzroy.com.au,,4.5,414,,49.7,,,,,,nearest,0.01
9175901175,node,Wolfhound on Brunswick,bar,,-37.7955977,144.9790863,386-388 Brunswick Street,Fitzroy,https://wolfhoundonbrunswick.com.au,,4.7,230,,47.4,,,,,,osm,0.0
9181554427,node,Padre Coffee,cafe,,-37.7993758,144.9860962,,Collingwood,https://www.padrecoffee.com.au,Mo-Sa 08:00-15:30; Su 08:00-15:00,,,,,,,,,,nearest,0.052
9181785536,node,Blackhearts & Sparrows,bar,,-37.8106158,144.9626112,Cnr Elizabeth & La Trobe Streets,Melbourne,,,,,,,,,,,,osm,0.0
9181797346,node,Blackhearts & Sparrows,bar,,-37.8462305,144.9921529,813-814 Commercial Road,South Yarra,,,4.3,18,,32.7,,,,,,osm,0.0
9181810994,node,Blackhearts & Sparrows,bar,,-37.8536216,144.9838549,88 Punt Road,Windsor,,,,,,,,,,,,osm,0.0
9181813950,node,Blackhearts & Sparrows,bar,,-37.8255591,144.9960544,202 Swan Street,Richmond,,,,,,,,,,,,nearest,0.036
